File,Link,Line
/Users/sek/projects/Larch/task1/ecto-1-kb-main/README.md,https://www.tldraw.com/f/vmDgAUPRHwqbl6XBioCTd?d=v-165.-209.2230.1510.ktdUMFGMRnE0GSi7qMi_z,3
/Users/sek/projects/Larch/task1/ecto-1-kb-main/README.md,https://www.figma.com/design/6tajpyASvzCUJziXVmqB6f/Wiki?node-id=0-1&t=aJzBTT6nICiGYAly-1,3
/Users/sek/projects/Larch/task1/ecto-1-kb-main/README.md,https://coders.su,3
/Users/sek/projects/Larch/task1/ecto-1-kb-main/README.md,https://img.shields.io/badge/Documentation-1.0.0-blue.svg,94
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Локальный запуск/Прокси.md,https://github.com/larchanka-training/python-typescript-wiki/blob/5fb06aecf7fa8bc8dbbb1bf0e3e38be20a0e10ca/docker-compose.yaml#L61,5
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Локальный запуск/Прокси.md,https://github.com/larchanka-training/python-typescript-wiki/blob/main/proxy/Dockerfile,22
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Локальный запуск/Прокси.md,https://github.com/larchanka-training/python-typescript-wiki/blob/main/proxy/nginx.conf,54
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/01-Обзор проекта/Архитектура.md,https://feature-sliced.design/,896
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/01-Обзор проекта/Архитектура.md,https://feature-sliced.design/docs/guides,897
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/01-Обзор проекта/Архитектура.md,https://feature-sliced.design/docs/reference/layers,898
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/01-Обзор проекта/О проекте.md,https://www.conventionalcommits.org/,175
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/01-Обзор проекта/Технологии.md,https://react.dev/,447
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/01-Обзор проекта/Технологии.md,https://vitejs.dev/,448
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/01-Обзор проекта/Технологии.md,https://tanstack.com/router/latest,449
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/01-Обзор проекта/Технологии.md,https://tanstack.com/query/latest,450
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/01-Обзор проекта/Технологии.md,https://tailwindcss.com/,451
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/01-Обзор проекта/Технологии.md,https://www.radix-ui.com/,452
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/01-Обзор проекта/Технологии.md,https://orval.dev/,453
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/01-Обзор проекта/Технологии.md,https://zod.dev/,454
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/01-Обзор проекта/Технологии.md,https://vitest.dev/,455
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/01-Обзор проекта/Технологии.md,https://playwright.dev/,456
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/02-Настройка и конфигурация/API клиент.md,https://orval.dev/,508
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/02-Настройка и конфигурация/API клиент.md,https://tanstack.com/query/latest,509
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/02-Настройка и конфигурация/API клиент.md,https://zod.dev/,510
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/02-Настройка и конфигурация/API клиент.md,https://developer.mozilla.org/en-US/docs/Web/API/Fetch_API,511
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/02-Настройка и конфигурация/Docker.md,https://docs.docker.com/,353
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/02-Настройка и конфигурация/Docker.md,https://docs.docker.com/compose/,354
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/02-Настройка и конфигурация/Docker.md,https://git-scm.com/book/en/v2/Git-Tools-Submodules,355
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/02-Настройка и конфигурация/Переменные окружения.md,https://vitejs.dev/guide/env-and-mode.html,464
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/02-Настройка и конфигурация/Переменные окружения.md,https://tanstack.com/query/latest/docs/react/reference/QueryClient,465
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/02-Настройка и конфигурация/Сборка.md,https://vitejs.dev/,551
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/02-Настройка и конфигурация/Сборка.md,https://www.typescriptlang.org/docs/handbook/project-references.html,552
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/02-Настройка и конфигурация/Сборка.md,https://www.typescriptlang.org/tsconfig#paths,553
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/02-Настройка и конфигурация/Стиль кода.md,https://eslint.org/,354
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/02-Настройка и конфигурация/Стиль кода.md,https://prettier.io/,355
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/02-Настройка и конфигурация/Стиль кода.md,https://typicode.github.io/husky/,356
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/02-Настройка и конфигурация/Стиль кода.md,https://github.com/okonet/lint-staged,357
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/02-Настройка и конфигурация/Установка и запуск.md,https://vitejs.dev/,383
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/02-Настройка и конфигурация/Установка и запуск.md,https://tanstack.com/query/latest,384
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/02-Настройка и конфигурация/Установка и запуск.md,https://orval.dev/,385
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/02-Настройка и конфигурация/Установка и запуск.md,https://react.dev/,386
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/03-Architecture FSD/Слой app.md,https://tanstack.com/router/latest,381
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/03-Architecture FSD/Слой app.md,https://tanstack.com/query/latest,382
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/03-Architecture FSD/Слой app.md,https://feature-sliced.design/docs/reference/layers#app,383
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/03-Architecture FSD/Слой entities.md,https://feature-sliced.design/docs/reference/layers#entities,751
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/03-Architecture FSD/Слой entities.md,https://zod.dev/,752
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/03-Architecture FSD/Слой entities.md,https://tanstack.com/query/latest,753
/Users/sek/projects/Larch/task1/ecto-1-kb-main/Документация/Фронтенд/03-Architecture FSD/Слой entities.md,https://vitest.dev/,754
