File,Link,Line
../ecto-1-kb-main/README.md,https://www.tldraw.com/f/vmDgAUPRHwqbl6XBioCTd?d=v-165.-209.2230.1510.ktdUMFGMRnE0GSi7qMi_z,3
../ecto-1-kb-main/README.md,https://www.figma.com/design/6tajpyASvzCUJziXVmqB6f/Wiki?node-id=0-1&t=aJzBTT6nICiGYAly-1,3
../ecto-1-kb-main/README.md,https://coders.su,3
../ecto-1-kb-main/README.md,https://img.shields.io/badge/Documentation-1.0.0-blue.svg,94
../ecto-1-kb-main/Документация/Локальный запуск/Прокси.md,https://github.com/larchanka-training/python-typescript-wiki/blob/5fb06aecf7fa8bc8dbbb1bf0e3e38be20a0e10ca/docker-compose.yaml#L61,5
../ecto-1-kb-main/Документация/Локальный запуск/Прокси.md,https://github.com/larchanka-training/python-typescript-wiki/blob/main/proxy/Dockerfile,22
../ecto-1-kb-main/Документация/Локальный запуск/Прокси.md,https://github.com/larchanka-training/python-typescript-wiki/blob/main/proxy/nginx.conf,54
../ecto-1-kb-main/Документация/Фронтенд/01-Обзор проекта/Архитектура.md,https://feature-sliced.design/,896
../ecto-1-kb-main/Документация/Фронтенд/01-Обзор проекта/Архитектура.md,https://feature-sliced.design/docs/guides,897
../ecto-1-kb-main/Документация/Фронтенд/01-Обзор проекта/Архитектура.md,https://feature-sliced.design/docs/reference/layers,898
../ecto-1-kb-main/Документация/Фронтенд/01-Обзор проекта/О проекте.md,https://www.conventionalcommits.org/,175
../ecto-1-kb-main/Документация/Фронтенд/01-Обзор проекта/Технологии.md,https://react.dev/,447
../ecto-1-kb-main/Документация/Фронтенд/01-Обзор проекта/Технологии.md,https://vitejs.dev/,448
../ecto-1-kb-main/Документация/Фронтенд/01-Обзор проекта/Технологии.md,https://tanstack.com/router/latest,449
../ecto-1-kb-main/Документация/Фронтенд/01-Обзор проекта/Технологии.md,https://tanstack.com/query/latest,450
../ecto-1-kb-main/Документация/Фронтенд/01-Обзор проекта/Технологии.md,https://tailwindcss.com/,451
../ecto-1-kb-main/Документация/Фронтенд/01-Обзор проекта/Технологии.md,https://www.radix-ui.com/,452
../ecto-1-kb-main/Документация/Фронтенд/01-Обзор проекта/Технологии.md,https://orval.dev/,453
../ecto-1-kb-main/Документация/Фронтенд/01-Обзор проекта/Технологии.md,https://zod.dev/,454
../ecto-1-kb-main/Документация/Фронтенд/01-Обзор проекта/Технологии.md,https://vitest.dev/,455
../ecto-1-kb-main/Документация/Фронтенд/01-Обзор проекта/Технологии.md,https://playwright.dev/,456
../ecto-1-kb-main/Документация/Фронтенд/02-Настройка и конфигурация/API клиент.md,https://orval.dev/,508
../ecto-1-kb-main/Документация/Фронтенд/02-Настройка и конфигурация/API клиент.md,https://tanstack.com/query/latest,509
../ecto-1-kb-main/Документация/Фронтенд/02-Настройка и конфигурация/API клиент.md,https://zod.dev/,510
../ecto-1-kb-main/Документация/Фронтенд/02-Настройка и конфигурация/API клиент.md,https://developer.mozilla.org/en-US/docs/Web/API/Fetch_API,511
../ecto-1-kb-main/Документация/Фронтенд/02-Настройка и конфигурация/Docker.md,https://docs.docker.com/,353
../ecto-1-kb-main/Документация/Фронтенд/02-Настройка и конфигурация/Docker.md,https://docs.docker.com/compose/,354
../ecto-1-kb-main/Документация/Фронтенд/02-Настройка и конфигурация/Docker.md,https://git-scm.com/book/en/v2/Git-Tools-Submodules,355
